Category,Region,Identifier,Description,Value unit / format,Native periodicity,Source response format,Max history available,Recommended storage horizon,Institution / endpoint,Status,Notes / quirks,In database,Stored periodicity,Stored from,Stored to,Stored observations,Freshness,Open data-quality flags,Synced
Equity index,US,equity.US.sp500,S&P 500 — daily close level,index points (local currency),daily (trading days),"yfinance object (internal, not raw CSV/JSON)",yf.Ticker(...).history(period='max') — effectively full listed history,full (cheap; yfinance 'max' costs nothing extra over a shorter pull),"Yahoo Finance, ticker ^GSPC",ok,Latest bar can carry a NaN close while a session is open (seen on ^GDAXI/^SSMI/^HSI/^N225) — must dropna before storage.,yes,weekly,1927-12-30,2026-08-27,"5,148","fresh (2d old, limit 14d)",—,2026-08-29
Equity index,US,equity.US.nasdaq100,Nasdaq 100 — daily close level,index points (local currency),daily (trading days),"yfinance object (internal, not raw CSV/JSON)",yf.Ticker(...).history(period='max') — effectively full listed history,full (cheap; yfinance 'max' costs nothing extra over a shorter pull),"Yahoo Finance, ticker ^NDX",ok,Latest bar can carry a NaN close while a session is open (seen on ^GDAXI/^SSMI/^HSI/^N225) — must dropna before storage.,yes,weekly,1985-10-04,2026-08-27,"2,135","fresh (2d old, limit 14d)",—,2026-08-29
Equity index,US,equity.US.russell2000,Russell 2000 — daily close level,index points (local currency),daily (trading days),"yfinance object (internal, not raw CSV/JSON)",yf.Ticker(...).history(period='max') — effectively full listed history,full (cheap; yfinance 'max' costs nothing extra over a shorter pull),"Yahoo Finance, ticker ^RUT",ok,Latest bar can carry a NaN close while a session is open (seen on ^GDAXI/^SSMI/^HSI/^N225) — must dropna before storage.,yes,weekly,1987-09-11,2026-08-27,"2,034","fresh (2d old, limit 14d)",—,2026-08-29
Equity index,UK,equity.UK.ftse100,FTSE 100 — daily close level,index points (local currency),daily (trading days),"yfinance object (internal, not raw CSV/JSON)",yf.Ticker(...).history(period='max') — effectively full listed history,full (cheap; yfinance 'max' costs nothing extra over a shorter pull),"Yahoo Finance, ticker ^FTSE",ok,Latest bar can carry a NaN close while a session is open (seen on ^GDAXI/^SSMI/^HSI/^N225) — must dropna before storage.,yes,weekly,1984-01-06,2026-08-27,"2,226","fresh (2d old, limit 14d)",—,2026-08-29
Equity index,EZ,equity.EZ.stoxx600,STOXX Europe 600 — daily close level,index points (local currency),daily (trading days),"yfinance object (internal, not raw CSV/JSON)",yf.Ticker(...).history(period='max') — effectively full listed history,full (cheap; yfinance 'max' costs nothing extra over a shorter pull),"Yahoo Finance, ticker ^STOXX",ok,Latest bar can carry a NaN close while a session is open (seen on ^GDAXI/^SSMI/^HSI/^N225) — must dropna before storage.,yes,weekly,2004-04-30,2026-08-27,"1,166","fresh (2d old, limit 14d)",—,2026-08-29
Equity index,DE,equity.DE.dax,DAX — daily close level,index points (local currency),daily (trading days),"yfinance object (internal, not raw CSV/JSON)",yf.Ticker(...).history(period='max') — effectively full listed history,full (cheap; yfinance 'max' costs nothing extra over a shorter pull),"Yahoo Finance, ticker ^GDAXI",ok,Latest bar can carry a NaN close while a session is open (seen on ^GDAXI/^SSMI/^HSI/^N225) — must dropna before storage.,yes,weekly,1987-12-30,2026-08-27,"2,018","fresh (2d old, limit 14d)",—,2026-08-29
Equity index,CH,equity.CH.smi,SMI — daily close level,index points (local currency),daily (trading days),"yfinance object (internal, not raw CSV/JSON)",yf.Ticker(...).history(period='max') — effectively full listed history,full (cheap; yfinance 'max' costs nothing extra over a shorter pull),"Yahoo Finance, ticker ^SSMI",ok,Latest bar can carry a NaN close while a session is open (seen on ^GDAXI/^SSMI/^HSI/^N225) — must dropna before storage.,yes,weekly,1990-11-09,2026-08-27,"1,869","fresh (2d old, limit 14d)",—,2026-08-29
Equity index,CN,equity.CN.csi300,CSI 300 (proxy: 510300.SS mainland-listed CNY ETF — Yahoo serves the index itself with only 1-5d history) — daily close level,index points (local currency),daily (trading days),"yfinance object (internal, not raw CSV/JSON)",yf.Ticker(...).history(period='max') — effectively full listed history,full (cheap; yfinance 'max' costs nothing extra over a shorter pull),"Yahoo Finance, ticker 510300.SS",ok,Latest bar can carry a NaN close while a session is open (seen on ^GDAXI/^SSMI/^HSI/^N225) — must dropna before storage.,yes,weekly,2012-05-04,2026-08-26,733,"fresh (3d old, limit 14d)",—,2026-08-29
Equity index,CN,equity.CN.hangseng,Hang Seng — daily close level,index points (local currency),daily (trading days),"yfinance object (internal, not raw CSV/JSON)",yf.Ticker(...).history(period='max') — effectively full listed history,full (cheap; yfinance 'max' costs nothing extra over a shorter pull),"Yahoo Finance, ticker ^HSI",ok,Latest bar can carry a NaN close while a session is open (seen on ^GDAXI/^SSMI/^HSI/^N225) — must dropna before storage.,yes,weekly,1987-01-02,2026-08-27,"2,070","fresh (2d old, limit 14d)",—,2026-08-29
Equity index,JP,equity.JP.nikkei225,Nikkei 225 — daily close level,index points (local currency),daily (trading days),"yfinance object (internal, not raw CSV/JSON)",yf.Ticker(...).history(period='max') — effectively full listed history,full (cheap; yfinance 'max' costs nothing extra over a shorter pull),"Yahoo Finance, ticker ^N225",ok,Latest bar can carry a NaN close while a session is open (seen on ^GDAXI/^SSMI/^HSI/^N225) — must dropna before storage.,yes,weekly,1965-01-08,2026-08-27,"3,214","fresh (2d old, limit 14d)",—,2026-08-29
